section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-051_1_E2_RE_SEC-02_local,1,1.0,2.0,152.6,139.3,144.2
MU-051_1_E2_RE_SEC-02_local,2,2.0,2.0,139.0,103.0,101.8
MU-051_1_E2_RE_SEC-02_local,3,3.0,2.0,120.1,87.4,86.2
MU-051_1_E2_RE_SEC-02_local,4,4.0,2.0,111.8,76.7,81.2
MU-051_1_E2_RE_SEC-02_local,5,5.0,2.0,102.2,32.8,30.6
MU-051_1_E2_RE_SEC-02_local,6,6.0,2.0,87.6,13.4,17.8
MU-051_1_E2_RE_SEC-02_local,7,7.0,2.0,76.6,10.4,9.3
MU-051_1_E2_RE_SEC-02_local,8,8.0,2.0,67.6,13.3,12.6
MU-051_1_E2_RE_SEC-02_local,9,9.0,2.0,60.8,19.1,160.1
MU-051_1_E2_RE_SEC-02_local,10,10.0,2.0,56.3,27.0,27.0
MU-051_1_E2_RE_SEC-02_local,11,11.0,2.0,53.8,29.9,30.6
