section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-109_1_E3_RE_SEC-05_local,1,1.0,2.0,91.0,84.2,83.4
MU-109_1_E3_RE_SEC-05_local,2,2.0,2.0,83.1,77.6,77.8
MU-109_1_E3_RE_SEC-05_local,3,3.0,2.0,81.9,82.0,81.4
MU-109_1_E3_RE_SEC-05_local,4,4.0,2.0,82.5,78.8,78.7
MU-109_1_E3_RE_SEC-05_local,5,5.0,2.0,80.7,76.5,74.8
MU-109_1_E3_RE_SEC-05_local,6,6.0,2.0,80.5,80.9,80.7
MU-109_1_E3_RE_SEC-05_local,7,7.0,2.0,80.7,88.9,88.6
MU-109_1_E3_RE_SEC-05_local,8,8.0,2.0,82.6,85.0,85.3
MU-109_1_E3_RE_SEC-05_local,9,9.0,2.0,81.7,76.6,76.7
MU-109_1_E3_RE_SEC-05_local,10,10.0,2.0,81.4,51.9,58.8
MU-109_1_E3_RE_SEC-05_local,11,11.0,2.0,77.0,14.8,9.9
