section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-280_1_E1_RE_SEC-07_local,1,1.0,2.0,96.9,86.0,82.9
MU-280_1_E1_RE_SEC-07_local,2,2.0,2.0,85.1,86.0,85.4
MU-280_1_E1_RE_SEC-07_local,3,3.0,2.0,89.6,100.9,100.6
MU-280_1_E1_RE_SEC-07_local,4,4.0,2.0,92.6,93.1,97.0
MU-280_1_E1_RE_SEC-07_local,5,5.0,2.0,91.0,79.7,80.2
MU-280_1_E1_RE_SEC-07_local,6,6.0,2.0,88.0,72.5,71.0
MU-280_1_E1_RE_SEC-07_local,7,7.0,2.0,85.6,69.1,70.4
MU-280_1_E1_RE_SEC-07_local,8,8.0,2.0,83.2,54.2,53.2
MU-280_1_E1_RE_SEC-07_local,9,9.0,2.0,78.8,44.1,45.5
MU-280_1_E1_RE_SEC-07_local,10,10.0,2.0,75.5,47.1,48.3
MU-280_1_E1_RE_SEC-07_local,11,11.0,2.0,72.9,33.8,44.2
