section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-089_1_E2_RE_SEC-03_local,1,1.0,2.0,151.6,116.2,111.8
MU-089_1_E2_RE_SEC-03_local,2,2.0,2.0,115.5,83.8,83.4
MU-089_1_E2_RE_SEC-03_local,3,3.0,2.0,104.5,77.0,79.9
MU-089_1_E2_RE_SEC-03_local,4,4.0,2.0,95.3,65.1,60.4
MU-089_1_E2_RE_SEC-03_local,5,5.0,2.0,88.3,75.7,72.0
MU-089_1_E2_RE_SEC-03_local,6,6.0,2.0,88.2,79.1,85.9
MU-089_1_E2_RE_SEC-03_local,7,7.0,2.0,85.1,66.7,63.9
MU-089_1_E2_RE_SEC-03_local,8,8.0,2.0,82.5,65.1,64.7
MU-089_1_E2_RE_SEC-03_local,9,9.0,2.0,80.4,66.8,66.2
MU-089_1_E2_RE_SEC-03_local,10,10.0,2.0,79.2,70.2,69.8
MU-089_1_E2_RE_SEC-03_local,11,11.0,2.0,78.5,76.9,77.5
