section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-224_1_E1_RE_SEC-06_local,1,1.0,2.0,139.1,134.4,127.4
MU-224_1_E1_RE_SEC-06_local,2,2.0,2.0,133.9,128.9,131.2
MU-224_1_E1_RE_SEC-06_local,3,3.0,2.0,132.0,113.9,113.0
MU-224_1_E1_RE_SEC-06_local,4,4.0,2.0,123.8,81.2,88.4
MU-224_1_E1_RE_SEC-06_local,5,5.0,2.0,112.6,57.9,54.3
MU-224_1_E1_RE_SEC-06_local,6,6.0,2.0,102.8,56.2,55.0
MU-224_1_E1_RE_SEC-06_local,7,7.0,2.0,95.9,74.6,72.5
MU-224_1_E1_RE_SEC-06_local,8,8.0,2.0,94.1,61.0,65.2
MU-224_1_E1_RE_SEC-06_local,9,9.0,2.0,86.7,30.7,28.3
MU-224_1_E1_RE_SEC-06_local,10,10.0,2.0,80.6,28.6,30.2
MU-224_1_E1_RE_SEC-06_local,11,11.0,2.0,75.2,8.1,3.5
