section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-052_1_E2_RE_SEC-05_local,1,1.0,2.0,104.7,102.8,101.1
MU-052_1_E2_RE_SEC-05_local,2,2.0,2.0,102.3,97.8,97.0
MU-052_1_E2_RE_SEC-05_local,3,3.0,2.0,100.0,99.9,100.7
MU-052_1_E2_RE_SEC-05_local,4,4.0,2.0,101.1,106.8,107.4
MU-052_1_E2_RE_SEC-05_local,5,5.0,2.0,102.7,87.5,95.3
MU-052_1_E2_RE_SEC-05_local,6,6.0,2.0,96.7,58.0,57.2
MU-052_1_E2_RE_SEC-05_local,7,7.0,2.0,90.1,42.5,41.8
MU-052_1_E2_RE_SEC-05_local,8,8.0,2.0,83.0,32.7,32.8
MU-052_1_E2_RE_SEC-05_local,9,9.0,2.0,77.5,21.6,24.2
MU-052_1_E2_RE_SEC-05_local,10,10.0,2.0,70.8,11.8,9.2
MU-052_1_E2_RE_SEC-05_local,11,11.0,2.0,65.3,7.4,7.9
