section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-260_1_E1_RE_SEC-03_local,1,1.0,2.0,135.0,128.9,129.9
MU-260_1_E1_RE_SEC-03_local,2,2.0,2.0,129.0,115.0,115.1
MU-260_1_E1_RE_SEC-03_local,3,3.0,2.0,121.4,95.5,96.1
MU-260_1_E1_RE_SEC-03_local,4,4.0,2.0,112.0,77.4,76.9
MU-260_1_E1_RE_SEC-03_local,5,5.0,2.0,103.7,68.5,66.0
MU-260_1_E1_RE_SEC-03_local,6,6.0,2.0,97.2,46.7,46.8
MU-260_1_E1_RE_SEC-03_local,7,7.0,2.0,87.2,30.6,27.5
MU-260_1_E1_RE_SEC-03_local,8,8.0,2.0,80.3,37.8,43.3
MU-260_1_E1_RE_SEC-03_local,9,9.0,2.0,75.8,21.3,21.1
MU-260_1_E1_RE_SEC-03_local,10,10.0,2.0,68.6,7.8,7.5
MU-260_1_E1_RE_SEC-03_local,11,11.0,2.0,63.7,6.3,173.4
