section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-037_1_E2_RE_SEC-01_local,1,1.0,2.0,89.1,74.6,70.8
MU-037_1_E2_RE_SEC-01_local,2,2.0,2.0,73.0,64.9,67.9
MU-037_1_E2_RE_SEC-01_local,3,3.0,2.0,72.4,69.1,69.8
MU-037_1_E2_RE_SEC-01_local,4,4.0,2.0,71.0,64.0,64.2
MU-037_1_E2_RE_SEC-01_local,5,5.0,2.0,68.9,51.3,50.0
MU-037_1_E2_RE_SEC-01_local,6,6.0,2.0,64.3,45.8,45.7
MU-037_1_E2_RE_SEC-01_local,7,7.0,2.0,62.2,47.8,50.4
MU-037_1_E2_RE_SEC-01_local,8,8.0,2.0,60.1,23.1,22.2
MU-037_1_E2_RE_SEC-01_local,9,9.0,2.0,54.5,12.5,13.1
MU-037_1_E2_RE_SEC-01_local,10,10.0,2.0,51.2,24.4,25.0
MU-037_1_E2_RE_SEC-01_local,11,11.0,2.0,48.9,27.0,26.6
