section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-021_1_E1_RE_SEC-08_local,1,1.0,2.0,96.8,90.8,89.7
MU-021_1_E1_RE_SEC-08_local,2,2.0,2.0,89.5,69.1,65.4
MU-021_1_E1_RE_SEC-08_local,3,3.0,2.0,78.0,51.4,52.6
MU-021_1_E1_RE_SEC-08_local,4,4.0,2.0,69.8,46.8,46.8
MU-021_1_E1_RE_SEC-08_local,5,5.0,2.0,65.2,46.7,44.8
MU-021_1_E1_RE_SEC-08_local,6,6.0,2.0,61.8,42.1,43.2
MU-021_1_E1_RE_SEC-08_local,7,7.0,2.0,58.3,38.7,37.7
MU-021_1_E1_RE_SEC-08_local,8,8.0,2.0,55.6,37.3,36.7
MU-021_1_E1_RE_SEC-08_local,9,9.0,2.0,53.3,33.4,35.4
MU-021_1_E1_RE_SEC-08_local,10,10.0,2.0,50.9,29.1,29.7
