section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-106_1_E2_RE_SEC-09_local,1,1.0,2.0,95.2,105.1,106.1
MU-106_1_E2_RE_SEC-09_local,2,2.0,2.0,104.3,109.9,103.2
MU-106_1_E2_RE_SEC-09_local,3,3.0,2.0,104.4,97.7,103.7
MU-106_1_E2_RE_SEC-09_local,4,4.0,2.0,101.0,102.9,94.8
MU-106_1_E2_RE_SEC-09_local,5,5.0,2.0,103.8,127.1,139.7
MU-106_1_E2_RE_SEC-09_local,6,6.0,2.0,109.7,134.8,133.7
MU-106_1_E2_RE_SEC-09_local,7,7.0,2.0,112.4,113.2,113.2
MU-106_1_E2_RE_SEC-09_local,8,8.0,2.0,110.6,82.3,85.4
MU-106_1_E2_RE_SEC-09_local,9,9.0,2.0,105.9,62.8,58.7
MU-106_1_E2_RE_SEC-09_local,10,10.0,2.0,101.3,84.4,89.6
MU-106_1_E2_RE_SEC-09_local,11,11.0,2.0,101.8,91.8,94.2
