section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-054_1_E3_RE_SEC-08_local,1,1.0,2.0,100.4,87.5,85.6
MU-054_1_E3_RE_SEC-08_local,2,2.0,2.0,85.4,63.2,59.9
MU-054_1_E3_RE_SEC-08_local,3,3.0,2.0,75.2,56.1,54.9
MU-054_1_E3_RE_SEC-08_local,4,4.0,2.0,70.5,43.5,43.3
MU-054_1_E3_RE_SEC-08_local,5,5.0,2.0,62.6,33.6,33.1
MU-054_1_E3_RE_SEC-08_local,6,6.0,2.0,58.1,37.9,37.9
MU-054_1_E3_RE_SEC-08_local,7,7.0,2.0,55.3,42.0,40.1
MU-054_1_E3_RE_SEC-08_local,8,8.0,2.0,54.0,47.1,48.7
MU-054_1_E3_RE_SEC-08_local,9,9.0,2.0,53.5,51.2,52.0
MU-054_1_E3_RE_SEC-08_local,10,10.0,2.0,53.4,50.6,51.1
MU-054_1_E3_RE_SEC-08_local,11,11.0,2.0,53.0,48.1,46.9
