section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-172_1_E1_RE_SEC-01_local,1,1.0,2.0,89.1,91.2,93.2
BU-172_1_E1_RE_SEC-01_local,2,2.0,2.0,90.1,77.2,82.7
BU-172_1_E1_RE_SEC-01_local,3,3.0,2.0,80.9,53.4,49.5
BU-172_1_E1_RE_SEC-01_local,4,4.0,2.0,71.6,33.4,33.3
BU-172_1_E1_RE_SEC-01_local,5,5.0,2.0,61.9,23.7,23.6
BU-172_1_E1_RE_SEC-01_local,6,6.0,2.0,55.2,16.9,17.4
BU-172_1_E1_RE_SEC-01_local,7,7.0,2.0,48.4,9.1,10.1
BU-172_1_E1_RE_SEC-01_local,8,8.0,2.0,43.3,9.2,8.7
BU-172_1_E1_RE_SEC-01_local,9,9.0,2.0,39.3,12.2,11.2
BU-172_1_E1_RE_SEC-01_local,10,10.0,2.0,36.6,14.0,15.3
BU-172_1_E1_RE_SEC-01_local,11,11.0,2.0,34.4,11.6,169.2
