section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-073_1_E1_RE_SEC-03_local,1,1.0,2.0,124.4,104.8,100.3
BU-073_1_E1_RE_SEC-03_local,2,2.0,2.0,103.8,73.7,70.1
BU-073_1_E1_RE_SEC-03_local,3,3.0,2.0,90.1,73.6,74.6
BU-073_1_E1_RE_SEC-03_local,4,4.0,2.0,87.8,72.0,73.4
BU-073_1_E1_RE_SEC-03_local,5,5.0,2.0,82.2,56.7,55.3
BU-073_1_E1_RE_SEC-03_local,6,6.0,2.0,77.0,40.1,39.6
BU-073_1_E1_RE_SEC-03_local,7,7.0,2.0,69.9,37.6,37.3
BU-073_1_E1_RE_SEC-03_local,8,8.0,2.0,66.7,39.1,38.8
BU-073_1_E1_RE_SEC-03_local,9,9.0,2.0,62.5,31.9,33.1
BU-073_1_E1_RE_SEC-03_local,10,10.0,2.0,59.2,31.4,29.5
BU-073_1_E1_RE_SEC-03_local,11,11.0,2.0,56.3,36.6,39.1
