section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-161_1_E1_RE_SEC-05_local,1,1.0,2.0,66.9,59.5,65.2
BU-161_1_E1_RE_SEC-05_local,2,2.0,2.0,58.5,48.8,48.4
BU-161_1_E1_RE_SEC-05_local,3,3.0,2.0,54.7,46.2,46.2
BU-161_1_E1_RE_SEC-05_local,4,4.0,2.0,52.3,45.2,46.0
BU-161_1_E1_RE_SEC-05_local,5,5.0,2.0,50.9,44.5,42.2
BU-161_1_E1_RE_SEC-05_local,6,6.0,2.0,49.7,45.5,45.3
BU-161_1_E1_RE_SEC-05_local,7,7.0,2.0,49.3,52.3,53.9
BU-161_1_E1_RE_SEC-05_local,8,8.0,2.0,50.3,47.5,48.4
BU-161_1_E1_RE_SEC-05_local,9,9.0,2.0,48.9,32.8,30.7
BU-161_1_E1_RE_SEC-05_local,10,10.0,2.0,46.8,27.7,29.7
BU-161_1_E1_RE_SEC-05_local,11,11.0,2.0,45.0,25.4,25.4
