section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-086_1_E2_RE_SEC-05_local,1,1.0,2.0,88.0,80.0,82.6
BU-086_1_E2_RE_SEC-05_local,2,2.0,2.0,79.4,68.4,70.0
BU-086_1_E2_RE_SEC-05_local,3,3.0,2.0,74.0,59.6,56.5
BU-086_1_E2_RE_SEC-05_local,4,4.0,2.0,68.9,68.5,71.3
BU-086_1_E2_RE_SEC-05_local,5,5.0,2.0,71.5,82.4,84.0
BU-086_1_E2_RE_SEC-05_local,6,6.0,2.0,73.5,63.6,64.8
BU-086_1_E2_RE_SEC-05_local,7,7.0,2.0,69.2,42.9,42.1
BU-086_1_E2_RE_SEC-05_local,8,8.0,2.0,65.7,42.0,41.7
BU-086_1_E2_RE_SEC-05_local,9,9.0,2.0,63.1,34.0,33.0
BU-086_1_E2_RE_SEC-05_local,10,10.0,2.0,59.3,18.0,18.9
BU-086_1_E2_RE_SEC-05_local,11,11.0,2.0,54.8,11.7,10.0
