section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-087_1_E2_RE_SEC-07_local,1,1.0,2.0,118.2,104.2,102.7
BU-087_1_E2_RE_SEC-07_local,2,2.0,2.0,103.3,79.5,78.1
BU-087_1_E2_RE_SEC-07_local,3,3.0,2.0,92.1,69.1,69.3
BU-087_1_E2_RE_SEC-07_local,4,4.0,2.0,85.7,69.4,66.5
BU-087_1_E2_RE_SEC-07_local,5,5.0,2.0,82.8,70.8,74.0
BU-087_1_E2_RE_SEC-07_local,6,6.0,2.0,80.7,57.4,60.3
BU-087_1_E2_RE_SEC-07_local,7,7.0,2.0,75.7,39.6,36.3
BU-087_1_E2_RE_SEC-07_local,8,8.0,2.0,70.7,34.6,38.4
BU-087_1_E2_RE_SEC-07_local,9,9.0,2.0,66.6,38.7,36.8
BU-087_1_E2_RE_SEC-07_local,10,10.0,2.0,64.2,17.2,160.7
BU-087_1_E2_RE_SEC-07_local,11,11.0,2.0,58.3,10.3,9.6
