section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-179_1_E2_RE_SEC-03_local,1,1.0,2.0,122.7,102.9,101.2
BU-179_1_E2_RE_SEC-03_local,2,2.0,2.0,101.8,73.8,75.3
BU-179_1_E2_RE_SEC-03_local,3,3.0,2.0,89.1,68.0,60.2
BU-179_1_E2_RE_SEC-03_local,4,4.0,2.0,84.9,62.9,69.2
BU-179_1_E2_RE_SEC-03_local,5,5.0,2.0,78.8,47.4,45.9
BU-179_1_E2_RE_SEC-03_local,6,6.0,2.0,72.1,40.1,39.4
BU-179_1_E2_RE_SEC-03_local,7,7.0,2.0,67.3,33.2,34.6
BU-179_1_E2_RE_SEC-03_local,8,8.0,2.0,62.0,32.7,30.2
BU-179_1_E2_RE_SEC-03_local,9,9.0,2.0,59.2,31.7,32.0
BU-179_1_E2_RE_SEC-03_local,10,10.0,2.0,55.6,17.2,18.9
