section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-131_1_E1_RE_SEC-09_local,1,1.0,2.0,89.7,89.2,93.5
BU-131_1_E1_RE_SEC-09_local,2,2.0,2.0,88.6,81.5,74.2
BU-131_1_E1_RE_SEC-09_local,3,3.0,2.0,84.2,70.5,76.8
BU-131_1_E1_RE_SEC-09_local,4,4.0,2.0,79.2,30.0,25.6
BU-131_1_E1_RE_SEC-09_local,5,5.0,2.0,64.6,7.8,6.7
BU-131_1_E1_RE_SEC-09_local,6,6.0,2.0,51.4,11.5,12.5
BU-131_1_E1_RE_SEC-09_local,7,7.0,2.0,41.1,15.8,12.8
BU-131_1_E1_RE_SEC-09_local,8,8.0,2.0,32.1,23.9,26.7
BU-131_1_E1_RE_SEC-09_local,9,9.0,2.0,23.9,30.1,29.6
BU-131_1_E1_RE_SEC-09_local,10,10.0,2.0,17.5,32.1,32.9
