section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-115_1_E2_RE_SEC-09_local,1,1.0,2.0,72.6,61.9,63.6
BU-115_1_E2_RE_SEC-09_local,2,2.0,2.0,58.6,45.3,43.7
BU-115_1_E2_RE_SEC-09_local,3,3.0,2.0,54.2,48.6,48.2
BU-115_1_E2_RE_SEC-09_local,4,4.0,2.0,53.5,37.0,40.4
BU-115_1_E2_RE_SEC-09_local,5,5.0,2.0,47.5,23.7,161.0
BU-115_1_E2_RE_SEC-09_local,6,6.0,2.0,43.7,39.0,39.7
BU-115_1_E2_RE_SEC-09_local,7,7.0,2.0,45.1,70.1,66.4
BU-115_1_E2_RE_SEC-09_local,8,8.0,2.0,50.1,60.8,68.2
BU-115_1_E2_RE_SEC-09_local,9,9.0,2.0,48.4,28.8,28.1
BU-115_1_E2_RE_SEC-09_local,10,10.0,2.0,45.7,23.4,23.8
BU-115_1_E2_RE_SEC-09_local,11,11.0,2.0,43.6,18.6,18.0
