section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-118_1_E2_RE_SEC-02_local,1,1.0,2.0,78.3,75.1,76.0
BU-118_1_E2_RE_SEC-02_local,2,2.0,2.0,74.6,82.7,78.2
BU-118_1_E2_RE_SEC-02_local,3,3.0,2.0,81.2,92.8,93.8
BU-118_1_E2_RE_SEC-02_local,4,4.0,2.0,83.1,65.6,71.2
BU-118_1_E2_RE_SEC-02_local,5,5.0,2.0,75.1,45.4,44.9
BU-118_1_E2_RE_SEC-02_local,6,6.0,2.0,70.3,41.1,37.2
BU-118_1_E2_RE_SEC-02_local,7,7.0,2.0,65.0,33.6,34.4
BU-118_1_E2_RE_SEC-02_local,8,8.0,2.0,60.8,18.9,19.8
BU-118_1_E2_RE_SEC-02_local,9,9.0,2.0,54.7,0.7,4.6
BU-118_1_E2_RE_SEC-02_local,10,10.0,2.0,48.8,4.2,5.3
BU-118_1_E2_RE_SEC-02_local,11,11.0,2.0,44.3,2.0,1.5
