section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-167_1_E1_RE_SEC-04_local,1,1.0,2.0,85.4,68.1,63.7
BU-167_1_E1_RE_SEC-04_local,2,2.0,2.0,66.8,46.7,49.4
BU-167_1_E1_RE_SEC-04_local,3,3.0,2.0,59.1,38.6,35.5
BU-167_1_E1_RE_SEC-04_local,4,4.0,2.0,52.5,27.8,28.9
BU-167_1_E1_RE_SEC-04_local,5,5.0,2.0,46.4,23.8,23.9
BU-167_1_E1_RE_SEC-04_local,6,6.0,2.0,42.6,21.4,21.3
BU-167_1_E1_RE_SEC-04_local,7,7.0,2.0,39.0,21.6,22.9
BU-167_1_E1_RE_SEC-04_local,8,8.0,2.0,37.2,24.1,23.7
BU-167_1_E1_RE_SEC-04_local,9,9.0,2.0,35.6,26.9,24.8
BU-167_1_E1_RE_SEC-04_local,10,10.0,2.0,35.1,43.0,42.3
BU-167_1_E1_RE_SEC-04_local,11,11.0,2.0,36.9,50.1,55.8
