section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-167_1_E2_RE_SEC-06_local,1,1.0,2.0,126.2,106.5,106.0
BU-167_1_E2_RE_SEC-06_local,2,2.0,2.0,105.6,72.0,72.7
BU-167_1_E2_RE_SEC-06_local,3,3.0,2.0,89.4,60.8,61.3
BU-167_1_E2_RE_SEC-06_local,4,4.0,2.0,82.7,54.3,54.2
BU-167_1_E2_RE_SEC-06_local,5,5.0,2.0,74.9,37.6,38.1
BU-167_1_E2_RE_SEC-06_local,6,6.0,2.0,67.2,22.8,21.6
BU-167_1_E2_RE_SEC-06_local,7,7.0,2.0,59.8,18.6,21.2
BU-167_1_E2_RE_SEC-06_local,8,8.0,2.0,54.5,16.6,13.4
BU-167_1_E2_RE_SEC-06_local,9,9.0,2.0,49.6,13.1,12.5
BU-167_1_E2_RE_SEC-06_local,10,10.0,2.0,45.5,11.7,11.9
