section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-189_1_E2_RE_SEC-04_local,1,1.0,2.0,89.2,76.1,73.2
BU-189_1_E2_RE_SEC-04_local,2,2.0,2.0,74.8,55.0,57.9
BU-189_1_E2_RE_SEC-04_local,3,3.0,2.0,66.0,53.0,51.8
BU-189_1_E2_RE_SEC-04_local,4,4.0,2.0,63.8,56.2,54.8
BU-189_1_E2_RE_SEC-04_local,5,5.0,2.0,62.1,55.1,55.4
BU-189_1_E2_RE_SEC-04_local,6,6.0,2.0,60.8,40.5,47.9
BU-189_1_E2_RE_SEC-04_local,7,7.0,2.0,56.1,1.0,3.6
BU-189_1_E2_RE_SEC-04_local,8,8.0,2.0,47.8,16.3,17.2
BU-189_1_E2_RE_SEC-04_local,9,9.0,2.0,40.7,16.3,15.6
BU-189_1_E2_RE_SEC-04_local,10,10.0,2.0,34.3,18.6,18.7
BU-189_1_E2_RE_SEC-04_local,11,11.0,2.0,29.0,18.2,161.9
