section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-008_1_E3_RE_SEC-09_local,1,1.0,2.0,91.4,104.1,100.9
R-008_1_E3_RE_SEC-09_local,2,2.0,2.0,103.8,98.4,98.9
R-008_1_E3_RE_SEC-09_local,3,3.0,2.0,95.9,76.6,78.7
R-008_1_E3_RE_SEC-09_local,4,4.0,2.0,89.8,70.9,69.6
R-008_1_E3_RE_SEC-09_local,5,5.0,2.0,85.7,70.7,73.2
R-008_1_E3_RE_SEC-09_local,6,6.0,2.0,83.2,71.9,70.2
R-008_1_E3_RE_SEC-09_local,7,7.0,2.0,81.6,68.9,69.2
R-008_1_E3_RE_SEC-09_local,8,8.0,2.0,79.4,65.2,65.1
R-008_1_E3_RE_SEC-09_local,9,9.0,2.0,77.7,63.4,64.1
R-008_1_E3_RE_SEC-09_local,10,10.0,2.0,76.2,49.3,53.8
R-008_1_E3_RE_SEC-09_local,11,11.0,2.0,72.7,37.8,34.0
