section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-006_1_E1_RE_SEC-02_local,1,1.0,2.0,114.4,93.1,91.6
R-006_1_E1_RE_SEC-02_local,2,2.0,2.0,92.2,63.3,61.4
R-006_1_E1_RE_SEC-02_local,3,3.0,2.0,80.0,50.7,53.1
R-006_1_E1_RE_SEC-02_local,4,4.0,2.0,71.0,41.7,40.4
R-006_1_E1_RE_SEC-02_local,5,5.0,2.0,63.9,38.3,38.4
R-006_1_E1_RE_SEC-02_local,6,6.0,2.0,59.8,41.5,41.4
R-006_1_E1_RE_SEC-02_local,7,7.0,2.0,57.2,44.2,44.6
R-006_1_E1_RE_SEC-02_local,8,8.0,2.0,55.7,47.4,47.4
R-006_1_E1_RE_SEC-02_local,9,9.0,2.0,54.9,48.6,49.4
R-006_1_E1_RE_SEC-02_local,10,10.0,2.0,54.2,30.2,30.0
R-006_1_E1_RE_SEC-02_local,11,11.0,2.0,50.5,11.6,12.8
