section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-007_1_E1_RE_SEC-03_local,1,1.0,2.0,114.5,119.7,113.5
R-007_1_E1_RE_SEC-03_local,2,2.0,2.0,119.1,108.0,116.8
R-007_1_E1_RE_SEC-03_local,3,3.0,2.0,110.2,84.7,84.4
R-007_1_E1_RE_SEC-03_local,4,4.0,2.0,101.3,68.2,66.8
R-007_1_E1_RE_SEC-03_local,5,5.0,2.0,92.5,60.1,61.2
R-007_1_E1_RE_SEC-03_local,6,6.0,2.0,86.6,52.3,55.1
R-007_1_E1_RE_SEC-03_local,7,7.0,2.0,81.0,39.7,38.1
R-007_1_E1_RE_SEC-03_local,8,8.0,2.0,74.4,35.4,35.9
R-007_1_E1_RE_SEC-03_local,9,9.0,2.0,69.8,34.3,34.0
R-007_1_E1_RE_SEC-03_local,10,10.0,2.0,65.9,30.2,30.1
