section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-010_1_E1_RE_SEC-07_local,1,1.0,2.0,56.1,51.6,68.8
R-010_1_E1_RE_SEC-07_local,2,2.0,2.0,50.4,46.8,46.3
R-010_1_E1_RE_SEC-07_local,3,3.0,2.0,49.8,45.9,46.8
R-010_1_E1_RE_SEC-07_local,4,4.0,2.0,48.0,39.5,39.7
R-010_1_E1_RE_SEC-07_local,5,5.0,2.0,45.7,40.3,40.2
R-010_1_E1_RE_SEC-07_local,6,6.0,2.0,45.5,42.6,43.7
R-010_1_E1_RE_SEC-07_local,7,7.0,2.0,44.7,36.1,38.0
R-010_1_E1_RE_SEC-07_local,8,8.0,2.0,43.1,26.6,25.7
R-010_1_E1_RE_SEC-07_local,9,9.0,2.0,40.6,19.2,18.8
R-010_1_E1_RE_SEC-07_local,10,10.0,2.0,38.3,16.4,15.7
R-010_1_E1_RE_SEC-07_local,11,11.0,2.0,36.2,18.0,17.7
