section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-010_1_E1_RE_SEC-08_local,1,1.0,2.0,115.6,94.2,91.2
R-010_1_E1_RE_SEC-08_local,2,2.0,2.0,93.6,65.8,67.4
R-010_1_E1_RE_SEC-08_local,3,3.0,2.0,80.9,48.6,47.4
R-010_1_E1_RE_SEC-08_local,4,4.0,2.0,70.0,44.0,45.0
R-010_1_E1_RE_SEC-08_local,5,5.0,2.0,65.4,42.4,42.4
R-010_1_E1_RE_SEC-08_local,6,6.0,2.0,60.7,28.9,27.0
R-010_1_E1_RE_SEC-08_local,7,7.0,2.0,54.8,26.8,29.3
R-010_1_E1_RE_SEC-08_local,8,8.0,2.0,51.8,31.5,31.5
R-010_1_E1_RE_SEC-08_local,9,9.0,2.0,49.5,31.5,30.7
R-010_1_E1_RE_SEC-08_local,10,10.0,2.0,47.6,27.5,30.5
R-010_1_E1_RE_SEC-08_local,11,11.0,2.0,45.3,12.8,12.6
