section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-009_1_E1_RE_SEC-03_local,1,1.0,2.0,89.0,91.3,90.9
R-009_1_E1_RE_SEC-03_local,2,2.0,2.0,91.3,76.0,78.1
R-009_1_E1_RE_SEC-03_local,3,3.0,2.0,80.4,53.0,51.5
R-009_1_E1_RE_SEC-03_local,4,4.0,2.0,72.4,48.1,47.5
R-009_1_E1_RE_SEC-03_local,5,5.0,2.0,67.2,49.5,50.8
R-009_1_E1_RE_SEC-03_local,6,6.0,2.0,64.3,49.0,48.4
R-009_1_E1_RE_SEC-03_local,7,7.0,2.0,61.8,49.6,50.1
R-009_1_E1_RE_SEC-03_local,8,8.0,2.0,60.3,46.1,46.5
R-009_1_E1_RE_SEC-03_local,9,9.0,2.0,58.1,40.6,39.3
R-009_1_E1_RE_SEC-03_local,10,10.0,2.0,56.3,40.7,41.1
