section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-012_1_E1_RE_SEC-02_local,1,1.0,2.0,128.5,108.4,108.6
R-012_1_E1_RE_SEC-02_local,2,2.0,2.0,107.8,90.7,93.0
R-012_1_E1_RE_SEC-02_local,3,3.0,2.0,103.3,84.9,83.2
R-012_1_E1_RE_SEC-02_local,4,4.0,2.0,96.0,74.5,75.3
R-012_1_E1_RE_SEC-02_local,5,5.0,2.0,91.1,69.7,69.2
R-012_1_E1_RE_SEC-02_local,6,6.0,2.0,86.8,63.3,65.4
R-012_1_E1_RE_SEC-02_local,7,7.0,2.0,82.9,44.0,43.7
R-012_1_E1_RE_SEC-02_local,8,8.0,2.0,76.2,27.3,26.2
R-012_1_E1_RE_SEC-02_local,9,9.0,2.0,70.4,26.1,25.5
R-012_1_E1_RE_SEC-02_local,10,10.0,2.0,65.7,25.1,25.7
