section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-013_1_E2_RE_SEC-02_local,1,1.0,2.0,117.4,96.1,95.2
R-013_1_E2_RE_SEC-02_local,2,2.0,2.0,94.9,61.1,61.6
R-013_1_E2_RE_SEC-02_local,3,3.0,2.0,78.7,44.7,43.4
R-013_1_E2_RE_SEC-02_local,4,4.0,2.0,69.0,43.8,45.0
R-013_1_E2_RE_SEC-02_local,5,5.0,2.0,64.3,46.1,45.1
R-013_1_E2_RE_SEC-02_local,6,6.0,2.0,61.1,42.3,44.0
R-013_1_E2_RE_SEC-02_local,7,7.0,2.0,57.7,27.9,29.0
R-013_1_E2_RE_SEC-02_local,8,8.0,2.0,52.7,4.7,3.0
R-013_1_E2_RE_SEC-02_local,9,9.0,2.0,46.1,8.3,9.6
R-013_1_E2_RE_SEC-02_local,10,10.0,2.0,40.7,9.6,9.7
R-013_1_E2_RE_SEC-02_local,11,11.0,2.0,35.6,6.9,6.2
